valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Cloud_Cover_Mean_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude
20-03-1979,3.0171757,309.14166,302.32004,294.8745,0.07540598,64.57315,13.676148,0,7.3682175,2.64E+07,11.721561,47.66125,13.8,77.6
21-03-1979,2.6935163,308.98947,301.9121,294.1205,0.06235125,70.08965,13.244042,0,7.071246,2.65E+07,11.340749,47.547997,13.8,77.6
22-03-1979,2.4883773,308.70438,301.6553,294.0527,0.050959185,55.509403,16.478954,0,6.8088045,2.63E+07,11.597993,46.374718,13.8,77.6
23-03-1979,3.139608,308.9775,301.62323,294.3425,0.05721851,72.41248,11.895542,0,7.4526205,2.66E+07,12.116827,46.733215,13.8,77.6
24-03-1979,2.8338892,308.18732,301.337,293.874,0.059262305,68.670296,12.139007,0,7.130524,2.68E+07,10.995889,45.34701,13.8,77.6
25-03-1979,2.339472,308.1526,301.4614,294.01886,0.4350078,71.5591,14.758661,0,6.6433926,2.66E+07,11.897551,44.33731,13.8,77.6
26-03-1979,2.7373059,308.4789,302.02856,294.75717,0.49415404,61.94393,15.753181,0,7.0499706,2.64E+07,11.858104,45.398983,13.8,77.6
27-03-1979,2.8760097,308.9293,302.5114,295.33682,0.09901699,63.10062,12.716146,0,7.358669,2.69E+07,10.931759,47.762566,13.8,77.6
28-03-1979,2.5803406,308.9543,302.8338,295.6654,0.20350923,52.813984,17.542004,0,6.861526,2.53E+07,12.366202,46.408894,13.8,77.6
29-03-1979,2.447707,307.9094,302.03125,296.67075,0.33992845,46.42519,18.62075,0,6.588694,2.41E+07,11.325009,44.158394,13.8,77.6
30-03-1979,2.3430634,308.38635,301.45615,293.21536,0.18494062,60.358673,16.588808,0,6.667625,2.62E+07,10.99844,45.967064,13.8,77.6
31-03-1979,2.2282863,308.8722,301.9564,294.70334,0.3079072,60.040028,13.451621,0,6.757996,2.68E+07,9.753082,48.7573,13.8,77.6
01-04-1979,2.8292692,308.81976,303.35413,296.56918,0.16637202,65.22695,15.559737,0,7.0857873,2.51E+07,12.798586,45.543365,13.8,77.6
02-04-1979,3.4582424,309.90817,303.4063,296.29303,0.12474927,59.536564,11.447271,0,8.106064,2.70E+07,11.093833,50.832542,13.8,77.6
